ID,DetoP(GPa),smiles
CUNVAI,13.5,CC(=O)/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C
CUNWEN,13.1,O=C1OC(C)(C)OC(=O)C1=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
CUPPIO,6.2,NC(=O)[C@H](c1ccccc1)/N=C/c1ccc(cc1)[N+](=O)[O-]
CUPQEL,6.2,NC(=O)[C@H](c1ccccc1)/N=C/c1cccc(c1)[N+](=O)[O-]
CUPSAJ,6.9,NC(=O)[C@H](c1ccccc1)/N=C/c1ccccc1[N+](=O)[O-]
CURNIO,7.9,N#C/C(=C\c1cccc(c1)[N+](=O)[O-])/C(=O)NCc1ccco1
CUTWIX,11.9,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C
CUTWOD,12,[O-][N+](=O)[C@H]1C(=C[C@](C(=O)[C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C
CUTWUJ,12.2,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C
CUTXAQ,8.7,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@@]1(C)O)(C)[N+](=O)[O-])C(C)(C)C
CUTXUL,6.3,CC[C@@H]([C@H](N1C(=O)c2c(C1=O)cccc2)C[N+](=O)[O-])C=O
CUVXOG,38.5,[O-][N+](=O)C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CUZDEG,18.2,Nc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]
CUZMOZ,15,[O-][N+](=O)c1ccn(n1)C
CUZMUF,14.7,Cn1ncc(c1)[N+](=O)[O-]
DABRIK,7.4,O=C(Oc1ccccc1)Nc1ccc(cc1)[N+](=O)[O-]
DABTEI,8.1,O=Cc1c(nc2n1cc(cc2)[N+](=O)[O-])c1ccc(cc1)OC
DACYEL,26.5,[O-][N+](=O)c1c(C(=O)O)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N
DACZIT,5.5,[O-][N+](=O)C[C@@H](c1ccccc1)CC(=O)c1ccccn1
DADQIJ,10.4,CN(c1ccc(cc1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
DAFBOB,11,[O-][N+](=O)/C=C/1\CCCN1C
DAFGAS,22.6,[O-][N+](=O)C1([N+](=O)[O-])[C@@H]2[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@H]2[C@H]3[C@H]4C1([N+](=O)[O-])[N+](=O)[O-]
DAGREJ,7.8,[O-][N+](=O)C[C@@H](C(=O)N1C(=O)O[C@@H]2[C@@]31CC[C@H](C3(C)C)C2)O
