ID,Density(g/cm^3),smiles
CIGSUJ,1.8321,[O-][N+](=O)OCc1onc(n1)c1noc(n1)CO[N+](=O)[O-]
CIJBAA,1.4573,[O-][N+](=O)c1ccc2c(c1)c(nc(n2)c1ccccc1[N+](=O)[O-])c1ccccc1
CIJDAC,1.314,CCOC(=O)/C(=C(\N)/C)/[C@@H](c1cccc(c1)[N+](=O)[O-])C(C#N)C#N
CIJYIE,1.4774,N#Cc1[nH]c(nc1[N+](=O)[O-])C
CILBII,1.6716,CO[C@@H]1O[C@H](CO[N+](=O)[O-])[C@H]([C@@H]([C@H]1O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
CINVIE,1.5997,[O-][N+](=O)C1=C[C@@]([N+](=O)[O-])(C2CC2)[C@@H]([C@](C1=O)(C)O)[N+](=O)[O-]
CIQCAJ,1.4921,[O-][N+](=O)c1cc(N/C=C\2/C=CC=C(C2=O)OC)c(cc1)O
CIQRIE,1.3914,[O-][N+](=O)c1ccc(cc1)OCCCCOc1ccc(cc1)[N+](=O)[O-]
CIVVEI10,1.6881,CC(=O)Oc1cc(cc2c1c1cc(cc(c1[nH]c2=O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
CIWMAW01,1.8116,Nc1nc(N)c(nc1[N+](=O)[O-])[N+](=O)[O-]
CIWMEA10,1.861,[O-][N+](=O)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
CMDNFL,1.5495,N#CC(=C1c2cc(ccc2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-])C#N
CMNFLU10,1.6341,N#CC(=C1c2cc(cc(c2c2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C#N
CNOXPA,1.3707,N#CC1=C(C)N/C(=C\[N+](=O)[O-])/C(=O)C1(C)C
COCNBZ01,1.4301,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@H]1CCCCCC=C1
CODYAX,1.5398,[O-][N+](=O)c1ccc(cc1)/N=N/c1ccc(c(c1)C(=O)O)O
COGFUB,1.7676,[O-][N+](=O)c1n(/N=N/n2cnc(c2[N+](=O)[O-])[N+](=O)[O-])cnc1[N+](=O)[O-]
COGGAI,1.8193,[O-][N+](=O)c1ncn(n1)/N=N/n1cnc(n1)[N+](=O)[O-]
COMGUG,1.5004,O=C1c2ccccc2C(=O)N1c1ccccc1[N+](=O)[O-]
COQVAF,1.398,N#C/C(=C\c1ccccc1OC)/[N+](=O)[O-]
COWBEV,1.6951,N#[N+][N-]CN1CN(CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
COWNUX,1.3026,CN1[C@@H]2CCCC[C@@H]2CO[C@H]1c1ccc(cc1)[N+](=O)[O-]
COXXIW,1.4496,OC[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O)N
COYLAF03,1.8335,[O-][N+](=O)C([N+](=O)[O-])([N+](=O)[O-])CNc1nonc1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CTMTNA,1.806,[O-][N+](=O)N1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-]
CUBHEO,1.5025,COc1ccc(cc1)N1C(=O)c2c(C1=O)cccc2[N+](=O)[O-]
CUBKAN,1.5271,COc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)[N+](=O)[O-]
CUDYEH,1.4605,CCOC(=O)CCn1cc([N+](=O)[O-])c(=O)[nH]c1=O
CUDYIL,1.575,COC(=O)CCn1cc([N+](=O)[O-])c(=O)[nH]c1=O
CUHZEM,1.3917,O=C1N(/N=C/c2ccc(cc2)[N+](=O)[O-])CNc2c1cccc2
CUKCAM10,1.6901,OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
CUKRUW,1.4318,[O-][N+](=O)c1ccc(cc1)c1ncc2n1nc(o2)C1CCC1
CUKSIK,1.3688,[O-][N+](=O)c1cnn(c1)[C@]12C[C@@H]3C[C@H](C1)C[C@](C2)(C3)O
CUMQEI,1.3904,[O-][N+](=O)c1ccccc1/N=N/c1c(C)nn(c1N)c1ccccc1
CUNCOE,1.3326,N#CC1(C#N)[C@@H]([C@H]1c1ccccc1)c1ccc(cc1)[N+](=O)[O-]
CUNGAT,1.4107,CN/C=C/[N+](=O)[O-]
CUNTOU,1.3639,CC(=O)/C(=N/Nc1ccccc1[N+](=O)[O-])/C
CUNVAI,1.5164,CC(=O)/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C
